respondent_id,age_group,user_type,region,plan_type,tenure_months,overall_satisfaction,ease_of_use,pricing_satisfaction,support_satisfaction,likelihood_to_recommend,main_goal_achieved,biggest_frustration_text,improvement_request_text
R0001,50대+,실무자,서울,Pro,16,4,4,4,5,10,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0002,40대,실무자,경기,Free,12,4,5,1,3,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0003,40대,실무자,대전,Pro,8,4,4,4,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0004,20대,실무자,경기,Starter,17,3,3,2,3,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0005,40대,팀장,부산,Pro,24,4,4,4,2,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0006,30대,운영자,서울,Pro,9,3,3,3,2,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0007,50대+,개발협업,대전,Starter,16,4,3,3,4,10,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0008,30대,개발협업,서울,Free,18,3,4,1,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0009,40대,실무자,서울,Pro,13,4,3,4,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0010,30대,실무자,부산,Pro,5,4,4,3,3,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0011,40대,개발협업,서울,Pro,6,4,4,3,3,10,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0012,50대+,실무자,광주,Free,1,4,5,3,2,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0013,30대,운영자,대전,Pro,16,4,5,3,3,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0014,30대,실무자,서울,Enterprise,6,3,3,3,3,5,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0015,30대,개발협업,경기,Pro,13,4,4,4,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0016,20대,실무자,대전,Pro,12,4,3,4,4,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0017,20대,개발협업,광주,Pro,12,3,3,4,4,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0018,50대+,팀장,대전,Free,5,3,2,3,3,5,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0019,30대,운영자,경기,Enterprise,11,4,4,2,4,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0020,20대,팀장,서울,Enterprise,3,3,3,3,3,6,Y,모바일에서 속도가 느려 업무 중 답답합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0021,40대,운영자,경기,Pro,8,4,3,5,4,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0022,50대+,실무자,서울,Pro,8,4,5,4,4,10,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0023,40대,실무자,광주,Starter,7,3,3,3,3,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0024,30대,운영자,경기,Starter,2,3,1,4,3,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,모바일 성능 최적화를 해주면 좋겠습니다
R0025,20대,운영자,경기,Pro,16,3,3,3,5,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0026,20대,운영자,광주,Pro,10,3,5,2,3,4,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0027,30대,실무자,부산,Pro,9,4,4,2,5,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0028,20대,팀장,부산,Pro,16,4,3,3,3,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0029,50대+,팀장,경기,Pro,2,4,5,3,2,9,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0030,20대,운영자,부산,Pro,5,3,4,3,2,5,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,모바일 성능 최적화를 해주면 좋겠습니다
R0031,40대,실무자,서울,Pro,1,3,5,1,3,8,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0032,20대,개발협업,서울,Pro,4,3,5,1,4,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0033,40대,실무자,부산,Starter,14,3,2,5,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0034,30대,운영자,대전,Starter,7,3,2,3,2,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0035,30대,개발협업,경기,Starter,16,3,3,2,4,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0036,30대,팀장,서울,Pro,8,4,5,3,3,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,요금제별 기능 차이를 더 명확히 보여주세요
R0037,50대+,팀장,경기,Free,20,3,3,3,2,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0038,30대,실무자,대전,Pro,22,4,4,3,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0039,50대+,팀장,대전,Free,2,3,3,2,3,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0040,40대,팀장,부산,Starter,11,3,1,3,5,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0041,40대,개발협업,대전,Starter,13,3,3,4,4,5,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0042,40대,운영자,대전,Free,14,2,2,3,1,6,N,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0043,50대+,개발협업,서울,Enterprise,17,3,3,3,2,5,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0044,20대,실무자,대전,Starter,4,3,2,3,1,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0045,50대+,운영자,서울,Free,8,3,3,2,4,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0046,30대,팀장,서울,Starter,10,3,3,4,3,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0047,20대,팀장,부산,Pro,11,5,5,5,5,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0048,30대,실무자,부산,Free,16,3,3,2,1,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0049,40대,실무자,대전,Enterprise,8,4,4,5,3,8,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0050,50대+,개발협업,대전,Pro,25,4,5,2,2,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0051,50대+,운영자,서울,Pro,5,4,3,3,5,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0052,20대,팀장,서울,Starter,7,4,4,3,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0053,40대,팀장,대전,Starter,3,4,4,3,4,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0054,50대+,운영자,부산,Pro,7,4,5,2,3,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,모바일 성능 최적화를 해주면 좋겠습니다
R0055,50대+,운영자,광주,Starter,14,4,4,4,4,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0056,30대,운영자,서울,Enterprise,5,4,4,4,3,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0057,50대+,개발협업,부산,Enterprise,1,4,3,5,4,9,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0058,30대,운영자,서울,Free,26,3,4,1,3,4,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,요금제별 기능 차이를 더 명확히 보여주세요
R0059,40대,개발협업,부산,Enterprise,19,3,5,2,2,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0060,30대,팀장,광주,Pro,27,5,5,5,4,9,Y,가격이 비싸고 기능 대비 가치가 애매해요,요금제별 기능 차이를 더 명확히 보여주세요
R0061,30대,운영자,광주,Free,18,3,3,2,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0062,30대,운영자,광주,Pro,17,3,3,2,3,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0063,20대,실무자,대전,Pro,5,4,3,4,4,10,Y,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0064,40대,실무자,경기,Pro,9,4,4,3,4,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0065,40대,개발협업,부산,Starter,1,3,1,4,4,6,Y,가격이 비싸고 기능 대비 가치가 애매해요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0066,20대,운영자,부산,Starter,14,4,4,2,4,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0067,30대,운영자,광주,Starter,17,3,3,1,3,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0068,20대,팀장,경기,Pro,2,4,3,4,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0069,40대,운영자,대전,Starter,18,4,3,4,5,10,Y,모바일에서 속도가 느려 업무 중 답답합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0070,40대,개발협업,부산,Pro,16,4,4,2,3,8,Y,모바일에서 속도가 느려 업무 중 답답합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0071,50대+,개발협업,부산,Enterprise,1,4,4,3,4,10,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0072,50대+,실무자,부산,Starter,11,4,2,5,2,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0073,30대,운영자,서울,Pro,7,3,2,2,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0074,50대+,운영자,부산,Enterprise,3,3,4,2,3,7,Y,모바일에서 속도가 느려 업무 중 답답합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0075,20대,실무자,경기,Pro,8,4,4,3,4,10,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0076,40대,실무자,서울,Pro,32,2,2,3,2,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0077,30대,실무자,광주,Starter,17,4,4,3,3,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0078,20대,개발협업,부산,Enterprise,7,4,3,4,3,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0079,40대,팀장,대전,Pro,15,4,5,3,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0080,20대,실무자,광주,Enterprise,16,4,4,3,4,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0081,40대,팀장,서울,Pro,18,3,2,3,2,5,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0082,50대+,팀장,경기,Enterprise,7,3,3,2,4,4,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,모바일 성능 최적화를 해주면 좋겠습니다
R0083,40대,실무자,대전,Free,1,3,3,1,3,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0084,50대+,실무자,부산,Enterprise,22,4,5,4,2,10,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0085,30대,개발협업,서울,Starter,1,4,4,3,2,10,Y,가격이 비싸고 기능 대비 가치가 애매해요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0086,50대+,실무자,경기,Pro,16,3,3,2,2,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0087,50대+,팀장,대전,Free,33,4,4,3,4,8,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0088,40대,실무자,부산,Pro,15,4,3,4,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0089,30대,실무자,서울,Starter,17,3,3,3,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0090,40대,팀장,광주,Pro,11,4,4,3,3,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,요금제별 기능 차이를 더 명확히 보여주세요
R0091,20대,운영자,경기,Free,13,3,3,3,4,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,요금제별 기능 차이를 더 명확히 보여주세요
R0092,20대,개발협업,광주,Pro,16,4,4,4,4,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0093,50대+,개발협업,대전,Starter,2,3,2,4,2,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0094,40대,개발협업,광주,Pro,1,4,4,4,3,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0095,50대+,팀장,대전,Starter,1,4,4,4,4,9,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0096,50대+,실무자,서울,Starter,4,4,3,4,4,7,Y,모바일에서 속도가 느려 업무 중 답답합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0097,20대,개발협업,부산,Pro,13,3,4,3,1,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0098,30대,팀장,대전,Enterprise,17,3,3,4,3,5,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0099,40대,실무자,경기,Starter,21,4,4,2,4,9,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0100,20대,실무자,광주,Starter,12,3,1,3,4,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,요금제별 기능 차이를 더 명확히 보여주세요
R0101,30대,팀장,광주,Starter,5,4,4,2,4,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0102,50대+,실무자,부산,Free,17,4,4,2,4,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,모바일 성능 최적화를 해주면 좋겠습니다
R0103,30대,팀장,부산,Pro,3,4,3,3,4,6,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0104,50대+,실무자,대전,Starter,16,4,4,3,3,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0105,20대,운영자,경기,Free,23,3,2,2,3,6,Y,가격이 비싸고 기능 대비 가치가 애매해요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0106,20대,개발협업,부산,Pro,1,4,3,4,3,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0107,30대,팀장,서울,Pro,13,4,5,4,4,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,모바일 성능 최적화를 해주면 좋겠습니다
R0108,50대+,운영자,부산,Free,14,3,4,3,2,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0109,50대+,실무자,서울,Free,17,3,4,2,4,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0110,30대,운영자,광주,Starter,8,4,5,4,3,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0111,30대,개발협업,대전,Starter,12,4,3,5,4,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0112,40대,실무자,부산,Starter,5,4,3,4,3,9,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0113,30대,운영자,부산,Free,8,3,2,2,2,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0114,20대,개발협업,광주,Enterprise,8,3,3,2,2,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0115,20대,운영자,서울,Starter,8,4,4,4,5,7,Y,모바일에서 속도가 느려 업무 중 답답합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0116,30대,팀장,광주,Starter,1,3,3,2,3,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0117,50대+,팀장,광주,Pro,14,4,5,2,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0118,40대,개발협업,광주,Starter,22,4,3,4,3,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0119,20대,실무자,부산,Starter,23,3,3,3,3,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
