respondent_id,age_group,user_type,region,plan_type,tenure_months,overall_satisfaction,ease_of_use,pricing_satisfaction,support_satisfaction,likelihood_to_recommend,main_goal_achieved,biggest_frustration_text,improvement_request_text
R0120,20대,개발협업,서울,Free,15,3,4,1,3,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0121,30대,실무자,부산,Starter,6,4,4,4,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0122,30대,팀장,광주,Enterprise,1,4,4,3,2,10,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,모바일 성능 최적화를 해주면 좋겠습니다
R0123,20대,개발협업,광주,Enterprise,5,3,3,3,2,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0124,20대,운영자,서울,Starter,4,2,2,3,2,3,N,모바일에서 속도가 느려 업무 중 답답합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0125,40대,실무자,부산,Enterprise,1,4,3,3,3,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0126,40대,팀장,대전,Pro,4,4,5,2,2,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,모바일 성능 최적화를 해주면 좋겠습니다
R0127,30대,실무자,부산,Enterprise,6,4,4,4,4,6,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0128,40대,운영자,서울,Enterprise,1,4,4,3,3,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0129,40대,실무자,대전,Pro,4,3,4,1,4,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0130,50대+,팀장,대전,Free,1,2,2,2,3,5,N,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0131,50대+,운영자,광주,Starter,24,3,4,1,5,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0132,40대,운영자,대전,Pro,3,4,2,4,4,6,Y,가격이 비싸고 기능 대비 가치가 애매해요,요금제별 기능 차이를 더 명확히 보여주세요
R0133,40대,개발협업,부산,Enterprise,14,3,4,2,3,4,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0134,50대+,팀장,광주,Pro,11,3,4,3,2,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,모바일 성능 최적화를 해주면 좋겠습니다
R0135,40대,운영자,서울,Starter,18,4,3,5,4,10,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0136,30대,실무자,경기,Starter,9,4,4,4,4,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0137,20대,실무자,부산,Pro,11,4,5,3,4,10,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0138,20대,개발협업,대전,Starter,9,3,2,3,4,5,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0139,20대,실무자,광주,Pro,2,4,5,4,2,10,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0140,30대,운영자,경기,Free,14,4,4,2,2,10,Y,가격이 비싸고 기능 대비 가치가 애매해요,모바일 성능 최적화를 해주면 좋겠습니다
R0141,20대,실무자,서울,Pro,8,4,4,3,2,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0142,40대,개발협업,경기,Free,5,2,2,2,2,5,N,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0143,30대,운영자,부산,Pro,8,4,3,4,3,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0144,40대,개발협업,경기,Pro,23,3,2,4,4,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0145,40대,팀장,경기,Free,27,4,4,3,2,10,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0146,40대,실무자,서울,Starter,2,4,3,3,3,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,요금제별 기능 차이를 더 명확히 보여주세요
R0147,40대,개발협업,부산,Starter,1,2,2,3,2,2,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0148,20대,팀장,서울,Free,19,4,4,2,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0149,20대,팀장,부산,Starter,12,3,2,5,3,6,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0150,40대,운영자,광주,Pro,7,4,4,4,3,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0151,40대,실무자,광주,Pro,1,4,3,3,5,9,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0152,50대+,팀장,경기,Starter,22,3,3,3,2,6,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0153,50대+,실무자,경기,Free,14,3,3,3,3,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0154,40대,운영자,광주,Starter,1,3,2,2,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0155,50대+,운영자,대전,Starter,16,4,3,3,5,9,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0156,30대,운영자,서울,Starter,22,3,2,3,4,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0157,40대,팀장,서울,Starter,9,3,2,3,3,5,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0158,50대+,실무자,경기,Pro,6,3,3,3,2,4,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0159,40대,운영자,서울,Free,1,3,2,1,4,6,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0160,30대,실무자,대전,Enterprise,18,4,4,2,3,10,Y,모바일에서 속도가 느려 업무 중 답답합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0161,40대,개발협업,광주,Pro,15,4,5,4,3,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,모바일 성능 최적화를 해주면 좋겠습니다
R0162,40대,팀장,서울,Starter,13,4,3,3,3,7,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0163,40대,실무자,대전,Pro,13,4,3,3,3,10,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0164,40대,실무자,부산,Pro,12,4,4,3,4,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,모바일 성능 최적화를 해주면 좋겠습니다
R0165,20대,운영자,부산,Pro,10,4,3,4,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0166,30대,팀장,광주,Pro,11,4,4,4,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0167,30대,팀장,부산,Enterprise,17,4,4,3,3,6,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0168,30대,개발협업,대전,Enterprise,1,4,4,3,2,8,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0169,20대,실무자,대전,Pro,1,3,3,3,3,4,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0170,30대,개발협업,부산,Starter,31,4,4,4,3,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0171,40대,실무자,경기,Enterprise,1,4,5,4,3,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0172,50대+,개발협업,경기,Enterprise,8,4,4,5,3,10,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0173,20대,팀장,경기,Starter,7,4,4,5,3,9,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0174,30대,실무자,경기,Free,4,2,3,2,1,2,N,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0175,40대,팀장,광주,Starter,7,4,5,3,2,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0176,50대+,실무자,부산,Starter,10,4,4,5,3,9,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0177,30대,운영자,경기,Enterprise,5,3,2,3,4,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0178,20대,개발협업,부산,Pro,18,3,3,4,3,5,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0179,30대,개발협업,경기,Free,10,3,3,2,4,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0180,30대,개발협업,경기,Enterprise,2,5,5,5,3,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,요금제별 기능 차이를 더 명확히 보여주세요
R0181,20대,개발협업,부산,Pro,12,3,3,2,3,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0182,30대,팀장,부산,Enterprise,6,4,5,3,3,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0183,30대,운영자,경기,Starter,6,2,3,1,2,5,N,검색 정확도가 낮아 같은 작업을 반복합니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0184,20대,실무자,대전,Free,6,4,3,5,1,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0185,50대+,실무자,서울,Free,9,3,3,3,4,4,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0186,20대,실무자,광주,Starter,9,3,3,3,2,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0187,30대,팀장,부산,Free,14,3,4,3,2,5,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0188,20대,팀장,서울,Pro,16,3,3,4,2,6,Y,검색 정확도가 낮아 같은 작업을 반복합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0189,30대,개발협업,부산,Starter,1,3,4,2,2,6,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,요금제별 기능 차이를 더 명확히 보여주세요
R0190,30대,팀장,대전,Free,25,3,4,4,2,8,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0191,30대,실무자,광주,Enterprise,8,4,5,2,2,8,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0192,20대,운영자,대전,Pro,9,4,4,3,3,8,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0193,20대,실무자,부산,Starter,1,4,5,2,4,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,요금제별 기능 차이를 더 명확히 보여주세요
R0194,40대,실무자,경기,Free,8,2,2,3,2,2,N,검색 정확도가 낮아 같은 작업을 반복합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0195,20대,운영자,대전,Free,2,3,4,2,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0196,30대,운영자,부산,Starter,23,4,4,5,2,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0197,50대+,팀장,대전,Starter,13,4,4,3,4,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0198,30대,운영자,부산,Free,5,4,5,2,4,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0199,30대,운영자,대전,Pro,8,4,3,4,4,9,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0200,50대+,팀장,대전,Starter,12,4,2,4,3,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0201,40대,팀장,대전,Pro,12,3,3,4,2,5,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,요금제별 기능 차이를 더 명확히 보여주세요
R0202,20대,운영자,광주,Pro,30,4,5,2,3,10,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0203,50대+,실무자,서울,Pro,13,4,4,3,4,8,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,모바일 성능 최적화를 해주면 좋겠습니다
R0204,30대,운영자,서울,Free,13,3,5,1,3,5,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0205,30대,개발협업,부산,Starter,6,5,5,5,4,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0206,20대,팀장,경기,Starter,1,4,4,3,4,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0207,50대+,개발협업,서울,Starter,5,3,3,2,4,7,Y,모바일에서 속도가 느려 업무 중 답답합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0208,20대,팀장,부산,Pro,16,3,3,3,3,5,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0209,20대,운영자,부산,Starter,5,3,3,4,2,6,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0210,20대,팀장,부산,Pro,1,3,3,3,2,4,Y,모바일에서 속도가 느려 업무 중 답답합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0211,30대,팀장,대전,Free,8,4,4,2,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0212,50대+,개발협업,대전,Starter,16,4,5,2,2,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0213,40대,팀장,대전,Starter,15,3,2,3,3,5,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,요금제별 기능 차이를 더 명확히 보여주세요
R0214,20대,개발협업,광주,Pro,12,3,3,2,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0215,20대,개발협업,서울,Starter,1,4,4,3,3,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,모바일 성능 최적화를 해주면 좋겠습니다
R0216,30대,팀장,경기,Pro,12,4,5,3,3,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0217,20대,팀장,대전,Pro,3,4,3,3,3,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0218,50대+,개발협업,경기,Enterprise,25,4,4,5,4,9,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0219,40대,개발협업,대전,Pro,10,4,5,2,3,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0220,50대+,팀장,대전,Starter,23,3,3,3,2,7,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0221,20대,실무자,서울,Pro,4,4,4,3,4,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0222,30대,운영자,경기,Pro,11,4,4,4,3,10,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0223,40대,팀장,대전,Enterprise,13,3,3,3,3,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0224,40대,실무자,대전,Pro,10,3,4,3,3,7,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0225,50대+,팀장,경기,Pro,6,4,4,5,4,7,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,요금제별 기능 차이를 더 명확히 보여주세요
R0226,50대+,팀장,서울,Free,2,3,3,3,4,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0227,20대,팀장,광주,Enterprise,13,3,4,3,2,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,모바일 성능 최적화를 해주면 좋겠습니다
R0228,30대,개발협업,부산,Pro,9,4,3,3,3,10,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0229,20대,운영자,부산,Pro,13,3,2,3,4,7,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0230,20대,실무자,부산,Free,16,3,2,2,4,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0231,50대+,실무자,광주,Starter,26,3,2,3,4,7,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0232,20대,운영자,대전,Starter,12,5,4,5,4,9,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0233,30대,실무자,서울,Pro,12,4,4,4,4,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0234,30대,운영자,서울,Pro,9,4,3,4,3,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0235,50대+,운영자,서울,Pro,23,4,4,3,3,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,자주 쓰는 리포트 템플릿 저장 기능이 필요합니다
R0236,20대,실무자,서울,Starter,4,4,3,3,4,9,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0237,40대,팀장,대전,Starter,4,4,3,5,5,8,Y,알림 설정이 복잡해 중요한 업데이트를 놓칩니다,요금제별 기능 차이를 더 명확히 보여주세요
R0238,20대,개발협업,서울,Enterprise,5,4,5,3,3,6,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0239,40대,팀장,대전,Enterprise,19,3,3,3,3,5,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0240,50대+,실무자,경기,Starter,35,3,3,4,2,7,Y,모바일에서 속도가 느려 업무 중 답답합니다,첫 화면 튜토리얼을 단계별로 단순화해 주세요
